title,titleshort,imageURL,description,facet1,ASS,facet2,AMS,facet3,GIP,facet4
Microbiology,Microbiology,image/biological.jpg,A program that focuses on the scientific study of unicellular organisms and colonies. and subcellular genetic matter and their ecological interactions with human beings and other life. Includes instruction in microbial genetics. cell biology. cell physiology. virology. pathogenic microbiology. environmental microbiology. immunology. biostatistics. bioinformatics. and laboratory methods including microscopy.,Biological and Biomedical Sciences,"$39,700","$30,000-$39,999","$76,200","$70,000-$79,999",91.94%,80%-99%
Molecular Biology,Molecular_Biology,image/biological.jpg,A program that focuses on the scientific study of the structure and function of biological macromolecules and the role of molecular constituents and mechanisms in supramolecular assemblies and cells. Includes instruction in such topics as molecular signaling and transduction. regulation of cell growth. enzyme substrates and mechanisms of enzyme action. DNA-protein interaction. and applications to fields such as biotechnology. genetics. cell biology. and physiology.,Biological and Biomedical Sciences,"$40,100","$40,000-$49,999","$84,900","$80,000-$89,999",111.72%,100%-119%
Nutrition,Nutrition,image/biological.jpg,A general program that focuses on the role of foods and nutrition in human health and wellness. Includes instruction in nutritional care and education. the planning and provision of food services. the development of consumable food products. life-span nutrition and wellness. the principles of nutritional assessment. and food safety and food composition.,Biological and Biomedical Sciences,"$40,600","$40,000-$49,999","$57,900","$50,000-$59,999",42.61%,40%-59%
Zoology,Zoology,image/biological.jpg,A general program that focuses on the scientific study of the biology of animal species and phyla. with reference to their molecular and cellular systems. anatomy. physiology. and behavior. Includes instruction in molecular and cell biology. microbiology. anatomy and physiology. ecology and behavior. evolutionary biology. and applications to specific species and phyla.,Biological and Biomedical Sciences,"$36,500","$30,000-$39,999","$69,700","$60,000-$69,999",90.96%,80%-99%
Accounting,Accounting,image/business.jpg,A program that prepares individuals to practice the profession of accounting and to perform related business functions. Includes instruction in accounting principles and theory. financial accounting. managerial accounting. cost accounting. budget control. tax accounting. legal aspects of accounting. auditing. reporting procedures. statement analysis. planning and consulting. business information systems. accounting research methods. professional standards and ethics. and applications to specific for-profit. public. and non-profit organizations.,"Business, Management, Marketing, and Related Support Services","$44,300","$40,000-$49,999","$74,500","$70,000-$79,999",68.17%,60%-79%
Business,Business,image/business.jpg,A program that focuses on the general study of business. including the processes of interchanging goods and services (buying. selling and producing). business organization. and accounting as used in profit-making and nonprofit public and private institutions and agencies. The programs may prepare individuals to apply business principles and techniques in various occupational settings.,"Business, Management, Marketing, and Related Support Services","$41,400","$40,000-$49,999","$70,000","$70,000-$79,999",69.08%,60%-79%
Fashion Merchandising,Fashion_Merchandising,image/business.jpg,A program that prepares individuals to promote product lines/brands. and organize promotional campaigns. at the wholesale level to attract retailer interest. wholesale purchasing. and supply contracts. Includes instruction in wholesaling. wholesale advertising. selling. and customer relations.,"Business, Management, Marketing, and Related Support Services","$37,600","$30,000-$39,999","$58,100","$50,000-$59,999",54.52%,40%-59%
Finance,Finance,image/business.jpg, A program that generally prepares individuals to plan. manage. and analyze the financial and monetary aspects and performance of business enterprises. banking institutions. or other organizations. Includes instruction in principles of accounting. financial instruments. capital planning. funds acquisition. asset and debt management. budgeting. financial analysis. and investments and portfolio management.,"Business, Management, Marketing, and Related Support Services","$47,700","$40,000-$49,999","$85,400","$80,000-$89,999",79.04%,60%-79%
Hotel Management,Hotel_Management,image/business.jpg,A program that prepares individuals to serve as general managers and directors of hospitality operations on a system-wide basis. including both travel arrangements and promotion and the provision of traveler facilities. Includes instruction in principles of operations in the travel and tourism. hotel and lodging facilities. food services. and recreation facilities industries; hospitality marketing strategies; hospitality planning; management and coordination of franchise and unit operations; business management; accounting and financial management; hospitality transportation and logistics; and hospitality industry policies and regulations.,"Business, Management, Marketing, and Related Support Services","$40,400","$40,000-$49,999","$65,800","$60,000-$69,999",62.87%,60%-79%
Human Resources (HR),Human_Resources_HR,image/business.jpg,A program that prepares individuals to apply integrated training. organizational development. and career planning and counseling skills to the design. management. and evaluation of programs to improve individual productivity. employability. and job satisfaction and organizational effectiveness. Includes instruction in psychology; organizational behavior; principles of adult education; occupational counseling; skill testing and evaluation; program design; consulting practice; organizational development; and applications to issues such as training. management development. customer service. and total quality management.,"Business, Management, Marketing, and Related Support Services","$39,200","$30,000-$39,999","$61,200","$60,000-$69,999",56.12%,40%-59%
International Business,International_Business,image/business.jpg,A program that prepares individuals to manage international businesses and/or business operations. Includes instruction in the principles and processes of export sales. trade controls. foreign operations and related problems. monetary issues. international business policy. and applications to doing business in specific countries and markets.,"Business, Management, Marketing, and Related Support Services","$42,500","$40,000-$49,999","$76,600","$70,000-$79,999",80.24%,80%-99%
Marketing & Communications,Marketing__Communications,image/business.jpg,Plan. direct. or coordinate marketing policies and programs. such as determining the demand for products and services offered by a firm and its competitors. and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services. ,"Business, Management, Marketing, and Related Support Services","$39,100","$30,000-$39,999","$73,900","$70,000-$79,999",89.00%,80%-99%
Marketing Management,Marketing_Management,image/business.jpg,A program that generally prepares individuals to undertake and manage the process of developing consumer audiences and moving products from producers to consumers. Includes instruction in buyer behavior and dynamics. principle of marketing research. demand analysis. cost-volume and profit relationships. pricing theory. marketing campaign and strategic planning. market segments. advertising methods. sales operations and management. consumer relations. retailing. and applications to specific products and markets.,"Business, Management, Marketing, and Related Support Services","$40,700","$40,000-$49,999","$76,600","$70,000-$79,999",88.21%,80%-99%
Organizational Management (OM),Organizational_Management_OM,image/business.jpg,A program that focuses on leadership skills that can be applied to a business. government. non-profit. or educational setting. Includes instruction in organizational planning. dynamics of leadership. finance. team building. conflict resolution and mediation. communication and other management skills.,"Business, Management, Marketing, and Related Support Services","$40,700","$40,000-$49,999","$58,400","$50,000-$59,999",43.49%,40%-59%
Sports Management,Sports_Management,image/business.jpg,A program that prepares individuals to apply business. coaching and physical education principles to the organization. administration and management of athletic programs and teams. fitness/rehabilitation facilities and health clubs. sport recreation services. and related services. Includes instruction in program planning and development; business and financial management principles; sales. marketing and recruitment; event promotion. scheduling and management; facilities management; public relations; legal aspects of sports; and applicable health and safety standards.,"Business, Management, Marketing, and Related Support Services","$35,300","$30,000-$39,999","$57,600","$50,000-$59,999",63.17%,60%-79%
Supply Chain Management,Supply_Chain_Management,image/business.jpg,A program that prepares individuals to manage and coordinate all logistical functions in an enterprise. ranging from acquisitions to receiving and handling. through internal allocation of resources to operations units. to the handling and delivery of output. Includes instruction in acquisitions and purchasing. inventory control. storage and handling. just-in-time manufacturing. logistics planning. shipping and delivery management. transportation. quality control. resource estimation and allocation. and budgeting.,"Business, Management, Marketing, and Related Support Services","$50,500","$50,000-$59,999","$76,700","$70,000-$79,999",51.88%,40%-59%
Advertising,Advertising,image/communication.jpg,A program in the applied visual arts that prepares individuals to use artistic techniques to effectively communicate ideas and information to business and consumer audiences via illustrations and other forms of digital or printed media. Includes instruction in concept design. layout. paste-up. and techniques such as engraving. etching. silkscreen. lithography. offset. drawing and cartooning. painting. collage. and computer graphics.,"Communication, Journalism, and Related Programs","$37,800","$30,000-$39,999","$77,100","$70,000-$79,999",103.97%,100%-119%
Broadcasting,Broadcasting,image/communication.jpg,A program that prepares individuals to apply technical knowledge and skills to the production of radio and television programs. and related operations. under the supervision of broadcast and studio managers. directors. editors. and producers. Includes instruction in sound. lighting. and camera operation and maintenance; power and feed control; studio operations; production preparation; broadcast engineering; related computer applications; and specialized applications such as news. entertainment. live talk. sports. commercials. and taping.,"Communication, Journalism, and Related Programs","$31,800","$30,000-$39,999","$58,300","$50,000-$59,999",83.33%,80%-99%
Communications,Communications,image/communication.jpg,A program that generally prepares individuals to apply technical knowledge and skills in the manufacture and distribution or transmission of graphic communications products. Includes instruction in the prepress. press. and postpress phases of production operations and processes such as offset lithography. flexography. gravure. letterpress. screen printing. foil stamping. digital imaging. and other reproduction methods.,"Communication, Journalism, and Related Programs","$38,900","$30,000-$39,999","$68,400","$60,000-$69,999",75.84%,60%-79%
Journalism,Journalism,image/communication.jpg,A program that focuses on the theory and practice of gathering. processing. and delivering news and that prepares individuals to be professional print journalists. news editors. and news managers. Includes instruction in news writing and editing; reporting; photojournalism; layout and graphic design; journalism law and policy; professional standards and ethics; research methods; and journalism history and criticism.,"Communication, Journalism, and Related Programs","$36,800","$30,000-$39,999","$64,700","$60,000-$69,999",75.82%,60%-79%
Public Relations (PR),Public_Relations_PR,image/communication.jpg,A program that focuses on the theories and methods for managing the media image of a business. organization. or individual and the communication process with stakeholders. constituencies. audiences. and the general public; and that prepares individuals to function as public relations assistants. technicians. and managers. Includes instruction in public relations theory; related principles of advertising. marketing. and journalism; message/image design; image management; special event management; media relations; community relations; public affairs; and internal communications.,"Communication, Journalism, and Related Programs","$36,500","$30,000-$39,999","$65,000","$60,000-$69,999",78.08%,60%-79%
