title,titleshort,imageURL,description,facet1,ASS,facet2,AMS,facet3,GIP,facet4
Occupational Health and Safety,Occupational_Health_and_Safety,image/engineering.jpg,Review. evaluate. and analyze work environments and design programs and procedures to control. eliminate. and prevent disease or injury caused by chemical. physical. and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector. Includes environmental protection officers.,Engineering,"$49,600","$40,000-$49,999","$76,000","$70,000-$79,999",53.23%,40%-59%
Petroleum Engineering,Petroleum_Engineering,image/engineering.jpg,A program that prepares individuals to apply mathematical and scientific principles to the design. development and operational evaluation of systems for locating. extracting. processing and refining crude petroleum and natural gas. including prospecting instruments and equipment. mining and drilling systems. processing and refining systems and facilities. storage facilities. transportation systems. and related environmental and safety systems.,Engineering,"$98,000","$90,000-$99,999","$163,000","$160,000-$169,999",66.33%,60%-79%
Software Engineering,Software_Engineering,image/engineering.jpg,A program that prepares individuals to apply scientific and mathematical principles to the design. analysis. verification. validation. implementation. and maintenance of computer software systems using a variety of computer languages. Includes instruction in discrete mathematics. probability and statistics. computer science. managerial science. and applications to complex computer systems.,Engineering,"$59,100","$50,000-$59,999","$90,700","$90,000-$99,999",53.47%,40%-59%
American Studies,American_Studies,image/foreign.jpg,A program that focuses on the history. society. politics. culture. and economics of one or more of the peoples of the African Continent. usually with an emphasis on Africa south of the Sahara. and including the African diasporas overseas.,"Foreign Languages, Literatures, and Linguistics","$40,900","$40,000-$49,999","$72,800","$70,000-$79,999",78.00%,60%-79%
Classics,Classics,image/foreign.jpg,A program that focuses on Western and Non-Western cultures and related topics in the periods of Pre-history and Antiquity. Includes such disciplines as ancient languages. archeology. history. art history. geography. population studies. environmental studies. religious studies. and the social sciences.,"Foreign Languages, Literatures, and Linguistics","$35,300","$30,000-$39,999","$75,900","$70,000-$79,999",115.01%,100%-119%
English,English,image/foreign.jpg,A general program that focuses on the English language. including its history. structure and related communications skills; and the literature and culture of English-speaking peoples.,"Foreign Languages, Literatures, and Linguistics","$38,100","$30,000-$39,999","$65,500","$60,000-$69,999",71.92%,60%-79%
French,French,image/foreign.jpg, A program that focuses on the French language and related dialects and creoles. Includes instruction in philology; Metropolitan French; Canadian French; African and Caribbean Creoles; dialects; and applications in business. science/technology. and other settings.,"Foreign Languages, Literatures, and Linguistics","$39,500","$30,000-$39,999","$65,100","$60,000-$69,999",64.81%,60%-79%
German,German,image/foreign.jpg,A program that focuses on the history. society. politics. culture. and economics of Germany. the neighboring countries of Austria and Switzerland. the German minorities in neighboring European countries. and the historical areas of German influence across Europe and overseas.,"Foreign Languages, Literatures, and Linguistics","$41,300","$40,000-$49,999","$68,500","$60,000-$69,999",65.86%,60%-79%
Linguistics,Linguistics,image/foreign.jpg,A program that focuses on language. language development. and relationships among languages and language groups from a humanistic and/or scientific perspective. Includes instruction in subjects such as psycholinguistics. behavioral linguistics. language acquisition. sociolinguistics. mathematical and computational linguistics. grammatical theory and theoretical linguistics. philosophical linguistics. philology and historical linguistics. comparative linguistics. phonetics. phonemics. dialectology. semantics. functional grammar and linguistics. language typology. lexicography. morphology and syntax. orthography. stylistics. structuralism. rhetoric. and applications to artificial intelligence.,"Foreign Languages, Literatures, and Linguistics","$38,300","$30,000-$39,999","$74,900","$70,000-$79,999",95.56%,80%-99%
Literature,Literature,image/foreign.jpg,A program that focuses on literature from one or more genres. cultures or traditions. Includes instruction in period and genre studies. author studies. literary criticism. and studies of various types of literary text.,"Foreign Languages, Literatures, and Linguistics","$39,200","$30,000-$39,999","$72,000","$70,000-$79,999",83.67%,80%-99%
Spanish,Spanish,image/foreign.jpg,A program that focuses on the Spanish language and related dialects. Includes instruction in philology; Modern Castillan; Latin American and regional Spanish dialects; and applications in business. science/technology. and other settings.,"Foreign Languages, Literatures, and Linguistics","$35,900","$30,000-$39,999","$65,900","$60,000-$69,999",83.57%,80%-99%
History,History,image/history.jpg, A program that focuses on the general study and interpretation of the past. including the gathering. recording. synthesizing and criticizing of evidence and theories about past events. Includes instruction in historiography; historical research methods; studies of specific periods. issues and cultures; and applications to areas such as historic preservation. public policy. and records administration.,History,"$39,000","$30,000-$39,999","$70,200","$70,000-$79,999",80.00%,80%-99%
Health Care Administration,Health_Care_Administration,image/human.jpg,A program that prepares individuals to develop. plan. and manage health care operations and services within health care facilities and across health care systems. Includes instruction in planning. business management. financial management. public relations. human resources management. health care systems operation and management. health care resource allocation and policy making. health law and regulations. and applications to specific types of health care services.,Human Services,"$39,600","$30,000-$39,999","$57,800","$50,000-$59,999",45.96%,40%-59%
Hospitality & Tourism,Hospitality__Tourism,image/human.jpg,A program that prepares individuals to serve as general managers and directors of hospitality operations on a system-wide basis. including both travel arrangements and promotion and the provision of traveler facilities. Includes instruction in principles of operations in the travel and tourism. hotel and lodging facilities. food services. and recreation facilities industries; hospitality marketing strategies; hospitality planning; management and coordination of franchise and unit operations; business management; accounting and financial management; hospitality transportation and logistics; and hospitality industry policies and regulations.,Human Services,"$36,400","$30,000-$39,999","$62,300","$60,000-$69,999",71.15%,60%-79%
Human Development,Human_Development,image/human.jpg,A general program that focuses on basic human developmental and behavioral characteristics of the individual within the context of the family. Includes instruction in the conditions that influence human growth and development; strategies that promote growth and development across the life span; and the study of family systems.,Human Services,"$33,100","$30,000-$39,999","$47,800","$40,000-$49,999",44.41%,40%-59%
Nursing,Nursing,image/human.jpg,A program that generally prepares individuals in the knowledge. techniques and procedures for promoting health. providing care for sick. disabled. infirmed. or other individuals or groups. Includes instruction in the administration of medication and treatments. assisting a physician during treatments and examinations. Referring patients to physicians and other health care specialists. and planning education for health maintenance.,Human Services,"$54,100","$50,000-$59,999","$70,200","$70,000-$79,999",29.76%,20%-39%
Public Administration,Public_Administration,image/human.jpg,A program that prepares individuals to serve as managers in the executive arm of local. state. and federal government and that focuses on the systematic study of executive organization and management. Includes instruction in the roles. development. and principles of public administration; the management of public policy; executive-legislative relations; public budgetary processes and financial management; administrative law; public personnel management; professional ethics; and research methods.,Human Services,"$41,500","$40,000-$49,999","$59,700","$50,000-$59,999",43.86%,40%-59%
Public Health (PH),Public_Health_PH,image/human.jpg,A program that focuses on the scientific study of dental disease prevention and control. community dental health promotion. and prepares dentists and public health professionals to function as dental health specialists. Includes instruction in preventive dentistry. the relationship of oral disease to health and quality of life. patient and practitioner behavior. dental epidemiology. nutrition and dental health. dental care policy and delivery. oral health program planning and administration. biostatistics. and research methods.,Human Services,"$35,000","$30,000-$39,999","$51,300","$50,000-$59,999",46.57%,40%-59%
Paralegal/Law,Paralegal/Law,image/law.jpg,A program that prepares individuals for the professional study of law at the post-baccalaureate level.,Legal Professions and Studies,"$36,500","$30,000-$39,999","$52,100","$50,000-$59,999",42.74%,40%-59%
Art History,Art_History,image/liberal.jpg,A program that focuses on the study of the historical development of art as social and intellectual phenomenon. the analysis of works of art. and art conservation. Includes instruction in the theory of art. art history research methods. connoisseurship. the preservation and conservation of works of art. and the study of specific periods. cultures. styles. and themes.,Liberal Arts and Sciences Studies and Humanities,"$36,400","$30,000-$39,999","$54,000","$50,000-$59,999",48.35%,40%-59%
Humanities,Humanities,image/liberal.jpg,A program that focuses on combined studies and research in the humanities subjects as distinguished from the social and physical sciences. emphasizing languages. literatures. art. music. philosophy and religion.,Liberal Arts and Sciences Studies and Humanities,"$35,600","$30,000-$39,999","$60,100","$60,000-$69,999",68.82%,60%-79%
Liberal Arts,Liberal_Arts,image/liberal.jpg,A program that is a structured combination of the arts. biological and physical sciences. social sciences. and humanities. emphasizing breadth of study. Includes instruction in independently designed. individualized. or regular programs.,Liberal Arts and Sciences Studies and Humanities,"$35,300","$30,000-$39,999","$62,500","$60,000-$69,999",77.05%,60%-79%
Applied Mathematics,Applied_Mathematics,image/math.jpg,A program that focuses on the application of mathematics and statistics to the solution of functional problems in fields such as engineering and the applied sciences. Includes instruction in natural phenomena modeling continuum mechanics. reaction-diffusion. wave propagation. dynamic systems. numerical analysis. controlled theory. asymptotic methods. variation. optimization theory. inverse problems. and applications to specific scientific and industrial topics.,Mathematics and Statistics,"$50,800","$50,000-$59,999","$102,000","$100,000-$109,999",100.79%,100%-119%
Mathematics,Mathematics,image/math.jpg, A general program that focuses on the analysis of quantities. magnitudes. forms. and their relationships. using symbolic logic and language. Includes instruction in algebra. calculus. functional analysis. geometry. number theory. logic. topology and other mathematical specializations.,Mathematics and Statistics,"$48,500","$40,000-$49,999","$85,800","$80,000-$89,999",76.91%,60%-79%
Statistics,Statistics,image/math.jpg,A program that focuses on the application of statistics to the analysis and solution of educational research problems. and the development of technical designs for research studies. Includes instruction in mathematical statistics. research design. computer applications. instrument design. research methodologies. and applications to research problems in specific education subjects.,Mathematics and Statistics,"$49,300","$40,000-$49,999","$99,500","$90,000-$99,999",101.83%,100%-119%
Child and Family Studies,Child_and_Family_Studies,image/multi.jpg,A general program that focuses on basic human developmental and behavioral characteristics of the individual within the context of the family. Includes instruction in the conditions that influence human growth and development; strategies that promote growth and development across the life span; and the study of family systems.,Multi/interdisciplinary Studies,"$29,300","$20,000-$29,999","$37,700","$30,000-$39,999",28.67%,20%-39%
Dietetics,Dietetics,image/multi.jpg,A program that prepares individuals to integrate and apply the principles of the food and nutrition sciences. human behavior. and the biomedical sciences to design and manage effective nutrition programs in a variety of settings. Includes instruction in human nutrition; nutrient metabolism; the role of foods and nutrition in health promotion and disease prevention; planning and directing food service activities; diet and nutrition analysis and planning; supervision of food storage and preparation; client education; and professional standards and regulations.,Multi/interdisciplinary Studies,"$44,100","$40,000-$49,999","$54,300","$50,000-$59,999",23.13%,20%-39%
Exercise Science,Exercise_Science,image/multi.jpg,A program that focuses on the scientific study of the physiological processes involved in physical or motor activity. including sensorimotor interactions. response mechanisms. and the effects of injury. disease. and disability. Includes instruction in muscular and skeletal anatomy; molecular and cellular basis of muscle contraction; fuel utilization; neurophysiology of motor mechanics; systemic physiological responses (respiration. blood flow. endocrine secretions. and others); fatigue and exhaustion; muscle and body training; physiology of specific exercises and activities; physiology of injury; and the effects of disabilities and disease.,Multi/interdisciplinary Studies,"$31,300","$30,000-$39,999","$54,400","$50,000-$59,999",73.80%,60%-79%
Global & International Studies,Global__International_Studies,image/multi.jpg,A program that focuses on global and international issues from the perspective of the social sciences. social services. and related fields.,Multi/interdisciplinary Studies,"$40,200","$40,000-$49,999","$76,500","$70,000-$79,999",90.30%,80%-99%
Interdisciplinary Studies (IS),Interdisciplinary_Studies_IS,image/multi.jpg,A program that is either a general synthesis of one or more of the biological and physical sciences. or a specialization which draws from the biological and physical sciences.,Multi/interdisciplinary Studies,"$37,500","$30,000-$39,999","$51,000","$50,000-$59,999",36.00%,20%-39%
Recreation & Leisure Studies,Recreation__Leisure_Studies,image/multi.jpg,A program that focuses on the principles underlying recreational and leisure activities. and the practices involved in providing indoor and outdoor recreational facilities and services for the general public,Multi/interdisciplinary Studies,"$34,900","$30,000-$39,999","$55,300","$50,000-$59,999",58.45%,40%-59%
Forestry,Forestry,image/natural.jpg,A program that generally prepares individuals to manage and develop forest areas for economic. recreational. and ecological purposes. Includes instruction in forest-related sciences. mapping. statistics. harvesting and production technology. natural resources management and economics. wildlife sciences. administration. and public relations.,Natural Resources and Conservation,"$42,000","$40,000-$49,999","$65,500","$60,000-$69,999",55.95%,40%-59%
Philosophy,Philosophy,image/philosophy.jpg,A program that focuses on ideas and their logical structure. including arguments and investigations about abstract and real phenomena. Includes instruction in logic. ethics. aesthetics. epistemology. metaphysics. symbolism. and history of philosophy. and applications to the theoretical foundations and methods of other disciplines.,Philosophy and Religious Studies,"$38,300","$30,000-$39,999","$72,600","$70,000-$79,999",89.56%,80%-99%
Religious Studies,Religious_Studies,image/philosophy.jpg,A general program that combines the study of philosophy and religious studies. Includes instruction in logic; ethics; epistemology; symbolism; phenomenology; the sociology. psychology. philosophy. anthropology. literature. and art of religion; and world religions.,Philosophy and Religious Studies,"$34,900","$30,000-$39,999","$58,400","$50,000-$59,999",67.34%,60%-79%
Chemistry,Chemistry,image/physical.jpg,A general program that focuses on the scientific study of the composition and behavior of matter. including its micro- and macro-structure. the processes of chemical change. and the theoretical description and laboratory simulation of these phenomena.,Physical Sciences,"$44,700","$40,000-$49,999","$87,500","$80,000-$89,999",95.75%,80%-99%
Geology,Geology,image/physical.jpg,A program that focuses on the scientific study of the earth; the forces acting upon it; and the behavior of the solids. liquids and gases comprising it. Includes instruction in historical geology. geomorphology. and sedimentology. the chemistry of rocks and soils. stratigraphy. mineralogy. petrology. geostatistics. volcanology. glaciology. geophysical principles. and applications to research and industrial problems.,Physical Sciences,"$45,000","$40,000-$49,999","$89,400","$80,000-$89,999",98.67%,80%-99%
Physics,Physics,image/physical.jpg,A general program that focuses on the scientific study of matter and energy. and the formulation and testing of the laws governing the behavior of the matter-energy continuum. Includes instruction in classical and modern physics. electricity and magnetism. thermodynamics. mechanics. wave properties. nuclear processes. relativity and quantum theory. quantitative methods. and laboratory methods,Physical Sciences,"$51,200","$50,000-$59,999","$99,100","$90,000-$99,999",93.55%,80%-99%
Psychology,Psychology,image/psychology.jpg,A general program that focuses on the scientific study of individual and collective behavior. the physical and environmental bases of behavior. and the analysis and treatment of behavior problems and disorders. Includes instruction in the principles of the various subfields of psychology. research methods. and psychological assessment and testing methods.,Psychology,"$35,200","$30,000-$39,999","$60,200","$60,000-$69,999",71.02%,60%-79%
Anthropology,Anthropology,image/social.jpg,A program that focuses on the systematic study of human beings. their antecedents and related primates. and their cultural behavior and institutions. in comparative perspective. Includes instruction in biological/physical anthropology. primatology. human paleontology and prehistoric archeology. hominid evolution. anthropological linguistics. ethnography. ethnology. ethnohistory. socio-cultural anthropology. psychological anthropology. research methods. and applications to areas such as medicine. forensic pathology. museum studies. and international affairs.,Social Sciences,"$36,000","$30,000-$39,999","$61,400","$60,000-$69,999",70.56%,60%-79%
Criminal Justice,Criminal_Justice,image/social.jpg,A program that prepares individuals to study the theories and principles. of correctional science and to function as professional corrections officers and other workers in public and/or private incarceration facilities.,Social Sciences,"$35,200","$30,000-$39,999","$56,700","$50,000-$59,999",61.08%,60%-79%
Economics,Economics,image/social.jpg,A general program that focuses on the systematic study of the production. conservation and allocation of resources in conditions of scarcity. together with the organizational frameworks related to these processes. Includes instruction in economic theory. micro- and macroeconomics. comparative economic systems. money and banking systems. international economics. quantitative analytical methods. and applications to specific industries and public policy issues.,Social Sciences,"$48,500","$40,000-$49,999","$94,900","$90,000-$99,999",95.67%,80%-99%
Geography,Geography,image/social.jpg,A program that focuses on the systematic study of the spatial distribution and interrelationships of people. natural resources. plant and animal life. Includes instruction in historical and political geography. cultural geography. economic and physical geography. regional science. cartographic methods. remote sensing. spatial analysis. and applications to areas such as land-use planning. development studies. and analyses of specific countries. regions. and resources.,Social Sciences,"$39,800","$30,000-$39,999","$67,400","$60,000-$69,999",69.35%,60%-79%
Government,Government,image/social.jpg,A general program that focuses on the systematic study of political institutions and behavior. Includes instruction in political philosophy. political theory. comparative government and politics. political parties and interest groups. public opinion. political research methods. studies of the government and politics of specific countries. and studies of specific political institutions and processes.,Social Sciences,"$42,000","$40,000-$49,999","$95,600","$90,000-$99,999",127.62%,120%-139%
International Relations,International_Relations,image/social.jpg,A program that focuses on the systematic study of international politics and institutions. and the conduct of diplomacy and foreign policy. Includes instruction in international relations theory. foreign policy analysis. international law and organization. the comparative study of specific countries and regions. and the theory and practice of diplomacy.,Social Sciences,"$40,600","$40,000-$49,999","$93,000","$90,000-$99,999",129.06%,120%-139%
Political Science (PolySci),Political_Science_PolySci,image/social.jpg,A general program that focuses on the systematic study of political institutions and behavior. Includes instruction in political philosophy. political theory. comparative government and politics. political parties and interest groups. public opinion. political research methods. studies of the government and politics of specific countries. and studies of specific political institutions and processes.,Social Sciences,"$40,300","$40,000-$49,999","$74,700","$70,000-$79,999",85.36%,80%-99%
Social Science,Social_Science,image/social.jpg,A program that focuses on the general study of human social behavior and social institutions using any of the methodologies common to the social sciences and/or history. or an undifferentiated program of study in the social sciences.,Social Sciences,"$37,600","$30,000-$39,999","$56,300","$50,000-$59,999",49.73%,40%-59%
Social Work (SW),Social_Work_SW,image/social.jpg,A program that prepares individuals for the professional practice of social welfare administration and counseling. and that focus on the study of organized means of providing basic support services for vulnerable individuals and groups. Includes instruction in social welfare policy; case work planning; social counseling and intervention strategies; administrative procedures and regulations; and specific applications in areas such as child welfare and family services. probation. employment services. and disability counseling.,Social Sciences,"$33,100","$30,000-$39,999","$45,300","$40,000-$49,999",36.86%,20%-39%
Sociology,Sociology,image/social.jpg,A program that focuses on the systematic study of human social institutions and social relationships. Includes instruction in social theory. sociological research methods. social organization and structure. social stratification and hierarchies. dynamics of social change. family structures. social deviance and control. and applications to the study of specific social groups. social institutions. and social problems.,Social Sciences,"$36,000","$30,000-$39,999","$56,700","$50,000-$59,999",57.50%,40%-59%
Athletic Training,Athletic_Training,image/sports.jpg, A program that prepares individuals to work in consultation with. and under the supervision of physicians to prevent and treat sports injuries and associated conditions. Includes instruction in the identification. evaluation. and treatment of athletic injuries and illnesses; first aid and emergency care; therapeutic exercise; anatomy and physiology; exercise physiology; kinesiology and biomechanics; nutrition; sports psychology; personal and community health; knowledge of various sports and their biomechanical and physiological demands; and applicable professional standards and regulations.,Sports Science,"$34,400","$30,000-$39,999","$49,800","$40,000-$49,999",44.77%,40%-59%
Kinesiology,Kinesiology,image/sports.jpg,A scientific program that focuses on the anatomy. physiology. biochemistry. and biophysics of human movement. and applications to exercise and therapeutic rehabilitation. Includes instruction in biomechanics. motor behavior. motor development and coordination. motor neurophysiology. performance research. rehabilitative therapies. the development of diagnostic and rehabilitative methods and equipment. and related analytical methods and procedures in applied exercise and therapeutic rehabilitation.,Sports Science,"$34,100","$30,000-$39,999","$56,000","$50,000-$59,999",64.22%,60%-79%
Sports Medicine,Sports_Medicine,image/sports.jpg,A residency training program that prepares physicians to prevent and manage athletic injuries and to provide appropriate care for all structures of the musculoskeletal system directly affected by participation in sporting activity. Requires prior completion of a program in orthopedic surgery.,Sports Science,"$35,700","$30,000-$39,999","$50,300","$50,000-$59,999",40.90%,40%-59%
Biblical Studies,Biblical_Studies,image/religious.jpg,A program that focuses on the Christian and/or Jewish Bible and related literature. with an emphasis on understanding and interpreting the theological. doctrinal. and ethical messages contained therein. May include preparation for applying these studies in various religious vocations.,Theology and Religious Vocations,"$32,500","$30,000-$39,999","$51,000","$50,000-$59,999",56.92%,40%-59%
Theology,Theology,image/religious.jpg,A program that focuses on the beliefs and doctrine of a particular religious faith from the intramural point of view of that faith. Includes instruction in systematic theology. historical theology. moral theology. doctrinal studies. dogmatics. apologetics. and applications to specific questions of ecclesiastical polity and religious life.,Theology and Religious Vocations,"$32,400","$30,000-$39,999","$50,700","$50,000-$59,999",56.48%,40%-59%
Art,Art,image/art.jpg,Instructional programs that focus on the creation and interpretation of works and performances that use auditory. kinesthetic. and visual phenomena to express ideas and emotions in various forms. subject to aesthetic criteria.,Visual and Performing Arts,"$34,400","$30,000-$39,999","$56,700","$50,000-$59,999",64.83%,60%-79%
Culinary Arts,Culinary_Arts,image/art.jpg,A program that prepares individuals to serve as professional bakers and pastry specialists in restaurants or other commercial baking establishments. Includes instruction in bread and pastry making. bread and pastry handling and storage. cake and pastry decorating. baking industry operations. product packaging and marketing operations. and counter display and service.,Visual and Performing Arts,"$31,000","$30,000-$39,999","$49,700","$40,000-$49,999",60.32%,60%-79%
Drama,Drama,image/art.jpg,A program that focuses on the general study of dramatic works and their performance. Includes instruction in major works of dramatic literature. dramatic styles and types. and the principles of organizing and producing full live or filmed productions.,Visual and Performing Arts,"$39,300","$30,000-$39,999","$58,900","$50,000-$59,999",49.87%,40%-59%
Fashion Design,Fashion_Design,image/art.jpg,A program that prepares individuals to apply artistic principles and techniques to the professional design of commercial fashions. apparel. and accessories. and the management of fashion development projects. Includes instruction in apparel design; accessory design; the design of men's'. women's'. and children's' wear; flat pattern design; computer-assisted design and manufacturing; concept planning; designing in specific materials; labor and cost analysis; history of fashion; fabric art and printing; and the principles of management and operations in the fashion industry.,Visual and Performing Arts,"$36,300","$30,000-$39,999","$63,900","$60,000-$69,999",76.03%,60%-79%
Film Production,Film_Production,image/art.jpg,A program that prepares individuals to communicate dramatic information. ideas. moods. and feelings through the making and producing of films and videos. Includes instruction in theory of film. film technology and equipment operation. film production. film directing. film editing. cinematographic art. film audio. techniques for making specific types of films and/or videos. media technologies. computer image making. multi-media production. and the planning and management of film/video operations.,Visual and Performing Arts,"$37,500","$30,000-$39,999","$76,700","$70,000-$79,999",104.53%,100%-119%
Fine Arts,Fine_Arts,image/art.jpg, A program that prepares individuals to generally function as creative artists in the visual and plastic media. Includes instruction in the traditional fine arts media (drawing. painting. sculpture. printmaking. CAD/CAM) and/or modern media (ceramics. textiles. intermedia. photography. digital images). theory of art. color theory. composition and perspective. anatomy. the techniques and procedures for maintaining equipment and managing a studio. and art portfolio marketing.,Visual and Performing Arts,"$31,800","$30,000-$39,999","$53,700","$50,000-$59,999",68.87%,60%-79%
Multimedia and Web Design,Multimedia_and_Web_Design,image/art.jpg,A program that focuses on the development. use. critical evaluation. and regulation of new electronic communication technologies using computer applications; and that prepares individuals to function as developers and managers of digital communications media. Includes instruction in computer and telecommunications technologies and processes; design and development of digital communications; marketing and distribution; digital communications regulation. law. and policy; the study of human interaction with. and use of. digital media; and emerging trends and issues.,Visual and Performing Arts,"$40,500","$40,000-$49,999","$64,900","$60,000-$69,999",60.25%,60%-79%
Music,Music,image/art.jpg,A general program that focuses on the introductory study and appreciation of music and the performing arts. Includes instruction in music. dance. and other performing arts media.,Visual and Performing Arts,"$34,600","$30,000-$39,999","$51,100","$50,000-$59,999",47.69%,40%-59%
Photography,Photography,image/art.jpg,A program that focuses on the principles and techniques of communicating information. ideas. moods. and feelings through the creation of images on photographic film. plates. and digital images and that may prepare individuals to be professional photographic artists. Includes instruction in camera and equipment operation and maintenance. film and plate developing. light and composition. films and printing media. color and special effects. photographic art. photographic history. use of computer applications to record or enhance images and applications to the photography of various subjects.,Visual and Performing Arts,"$35,700","$30,000-$39,999","$55,600","$50,000-$59,999",55.74%,40%-59%
Theater,Theater,image/art.jpg,A program that focuses on the general study of dramatic works and their performance. Includes instruction in major works of dramatic literature. dramatic styles and types. and the principles of organizing and producing full live or filmed productions.,Visual and Performing Arts,"$33,200","$30,000-$39,999","$55,600","$50,000-$59,999",67.47%,60%-79%
